ego_wp_x,ego_wp_y,oppo_wp_x,oppo_wp_y
119.02192687988281,59.49651336669922,92.37525939941406,34.599945068359375
88.38256072998047,82.59994506835938,117.7632827758789,59.496665954589844
120.42192840576172,59.496341705322266,92.37505340576172,33.19994354248047
88.38277435302734,83.99994659423828,119.16328430175781,59.49649429321289
121.82192993164062,59.49617004394531,92.37483978271484,31.799945831298828
88.38298797607422,85.39994812011719,120.56327819824219,59.4963264465332
123.221923828125,59.496002197265625,92.37462615966797,30.399946212768555
88.3832015991211,86.79994201660156,121.9632797241211,59.49615478515625
124.6219253540039,59.49583053588867,92.3744125366211,28.99994659423828
88.38340759277344,88.19994354248047,123.36328125,59.4959831237793
126.02192687988281,59.49565887451172,92.37419891357422,27.599946975708008
88.38362121582031,89.59994506835938,124.7632827758789,59.495811462402344
127.42192840576172,59.495487213134766,92.37398529052734,26.1999454498291
88.38383483886719,90.99994659423828,126.16328430175781,59.495643615722656
128.82192993164062,59.49531936645508,92.37377166748047,24.799945831298828
88.38404846191406,92.39994812011719,127.56327819824219,59.4954719543457
130.221923828125,59.495147705078125,92.3735580444336,23.399946212768555
88.38426208496094,93.79994201660156,128.96328735351562,59.49530029296875
131.62193298339844,59.49497604370117,92.37334442138672,21.99994468688965
88.38447570800781,95.19994354248047,130.36328125,59.49513244628906
133.0219268798828,59.494808197021484,92.37313079833984,20.599946975708008
